"age","sex","mot","anx","val","sec","ple"
19,"0",14,18,16,14,10
19,"0",14,18,16,14,10
19,"0",15,21,10,12,5
18,"0",15,20,6,6,5
20,"0",17,20,12,15,9
19,"0",12,14,18,15,9
18,"0",17,10,15,21,10
24,"1",20,12,12,16,6
18,"0",15,18,16,9,9
19,"0",16,16,21,16,11
19,"1",18,11,14,18,10
20,"0",19,24,10,10,6
21,"0",15,21,16,14,8
20,"0",13,18,24,14,17
22,"0",8,21,18,9,9
18,"1",17,14,14,17,10
19,"0",13,18,15,9,8
26,"0",14,22,21,18,10
20,"0",13,7,15,20,7
19,"0",11,9,18,19,13
19,"0",16,20,17,10,8
21,"0",8,6,13,12,9
19,"0",13,18,15,11,8
0,"1",12,15,14,11,11
19,"0",10,13,20,17,16
21,"0",18,15,16,15,12
21,"0",18,15,16,15,12
19,"1",11,8,16,19,11
21,"0",18,21,12,10,8
20,"1",15,17,20,18,14
20,"0",11,15,17,16,10
26,"1",14,12,20,20,11
19,"0",13,14,18,15,16
23,"0",14,14,19,18,11
22,"0",18,14,18,16,8
19,"1",14,8,20,22,14
22,"0",14,14,22,15,12
